Food Item,Food category,Calories(kcal),Carbohydrates (g),Proteins (g),Fats (g),Fiber (g),Glycemic Index,Serving Size
Melon (cantaloupe),Fruit,60,15,1,0.4,1.6,65,1 cup (177g)
Pinto beans,Legumes,122,22,7,1,7,55,1/2 cup (86g)
Shrimps,Seafood,84,0,18,1.7,1.2,0,3 oz (85g)
"Herbs (thyme, basil, oregano)",Herb,1,0,0,0,0,5,2 tablespoons
Nectarines,Fruits,62,15,1.5,0.4,2.4,35,1 medium-sized nectarine
Xylitol,Sugar substitue,9,4,0,0,0,7,1 teaspoon
Pistachios,Nuts,158,8,5.8,13,10,15,1 oz (28g)
Teff,Grains,255,50,9,2,10,57,1 cup (193g)
Black-Eyed peas,Legumes,99,21,6,0.6,5,33,1/2 cup cooked
Coconut oil,Oil,120,14,0,0,0,2,1 tablespoon
Hazelnuts,Nuts ,176,5.5,4.2,17,2.7,15,1 oz (28g)
Millet,Grains ,207,41,6,1.7,2.3,52.7,1 cup (174g)
Grapefruits ,Fruits ,52,13,1,0,2,25,1 medium-sized grapefruit (230g)
Kidney beans,Legumes ,112,20,7,0.5,6,39,1/2 cup (86g)
Pears ,Fruits,101,27,1,0,6,20,1 medium-sized pear (178g)
Turmeric ,Spice/Root ,8,2,0.2,0.1,0.5,15,1 teaspoon
Asparagus,Vegetable,40,8,4,0.4,4,15,1 cup (180g)
Chickpeas,Legumes,134,23,7,2,6,28,1/2 cup (82g)
Cherries,Fruits ,87,22,1,0,3,22,1 cup (138g)
Ginger ,Root/Spice,4,1,0,0,0.1,10,1 tablespoon (6g)
Brussels sprout,Vegetable,56,12,4,0.6,4,15,1 cup (156g)
Bulgur,Grain,151,34,6,0.4,8,33.8,1 cup (182g)
Walnuts,Nuts,185,4,4,18,2,15,1 oz (28g)
Honey,Sweetener,64,17.3,0,0.1,0.1,62,1 tablespoon (21g)
Oranges ,Fruits,62,15,1.2,0.2,3.1,43,1 medium-sized orange (131g)
Cabbage,Vegetable,44,10,2,0.2,4,10,1 cup (150g)
Farro ,Grain,100,20,3.5,0.5,2.5,45,1/2 cup (100g)
Agave nectar,Sweetener,60,16,0,0,0,15,1 tablespoon (21g)
Scallops ,Seafood,95,0,19,1.2,0,0,3 oz (85g)
Plums ,Fruits,16,4,0.2,0.1,0.6,40,1 medium-sized plum (66g)
Zucchini,Vegetable,20,4,1,0,1,15,1 cup (124g)
Bok choy,Leafy Greens,9,1.5,1,0.1,1,83,1 cup shredded
Lima beans,Legumes,104,19,6,0.4,6,46,1/2 cup cooked
Artichokes ,Vegetable,60,13,3,0.4,7,20,1 medium-sized artichoke (120g)
Crab ,Seafood,98,0,20,1.1,0,5,3 oz (85g)
Guava ,Fruits,112,24,2.6,1,9,12,1 cup raw (244g)
Adzuki beans,Legumes,147,27,9,0.5,7.3,26,1/2 cup cooked
BuckWheat,Grain,155,33.5,5.7,1,4.5,55,1 cup (168g)
Oysters ,Seafood,68,0,9,3,0.8,0,3 oz (85g)
Swiss chard,Leafy Greens,35,7,3,0.2,3.7,2,1 cup cooked
Radishes,Vegetable,19,4,1,0.1,2,15,1 cup sliced
Maple syrup,Sweetener,52,13.4,0,0.1,0,54,1 tablespoon (20g)
Macadamia nuts ,Nuts,203,3.9,2.2,21.5,2.4,10,1 oz (28g)
Mung beans,Legumes,100,18,7,0.3,7,25,1/2 cup cooked
